"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13658",122920,66,2,2,9,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,3812.111587,4042.640481,2,151,0.59
"13659",122921,66,2,2,76,NA,3,3,1,1,NA,5,2,NA,1,2,2,1,2,2,1,2,2,NA,16529.051569,17402.311794,2,150,3.13
"13660",122922,66,2,2,73,NA,3,3,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,NA,23520.868453,25641.738408,2,168,4.73
"13661",122923,66,2,1,61,NA,4,4,2,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,11058.968721,11913.450857,1,163,2.65
"13662",122924,66,2,1,49,NA,3,3,2,1,NA,3,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,18870.30513,19995.285674,1,149,1.96
"13663",122925,66,2,2,57,NA,2,2,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,10705.490953,11634.430336,1,149,2.66
"13664",122926,66,2,2,17,NA,3,3,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,33470.081871,33917.351613,1,165,4.86
"13665",122927,66,2,1,5,NA,5,7,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,10785.625382,12342.566026,2,152,2.72
"13666",122928,66,2,2,50,NA,1,1,1,2,3,3,2,NA,2,2,2,2,2,2,2,2,2,2,16363.234132,16598.820883,2,154,NA
"13667",122929,66,2,2,26,NA,3,3,2,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,67388.275215,72403.872637,2,172,5
"13668",122930,66,2,1,77,NA,4,4,1,1,NA,1,2,NA,1,2,2,1,2,2,1,2,2,NA,3360.373085,3437.898257,2,151,3.54
"13669",122931,66,2,2,68,NA,3,3,1,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,95200.443168,92955.392084,1,159,5
"13670",122932,66,2,1,41,NA,3,3,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,24338.598217,25287.94535,1,157,1.34
"13671",122933,66,2,2,76,NA,4,4,1,1,NA,3,2,NA,1,2,2,1,2,2,1,2,2,NA,7665.329124,8400.22987,2,159,1.31
"13672",122934,66,2,1,32,NA,3,3,2,1,NA,5,3,NA,1,2,2,1,2,2,1,2,2,1,47864.252127,50098.171639,2,158,1.06
"13673",122935,66,2,2,0,1,2,2,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6077.265665,6667.158209,3,156,2.81
"13674",122936,66,1,2,66,NA,2,2,NA,2,4,3,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,29940.183976,0,1,163,2.16
"13675",122937,66,2,1,41,NA,2,2,1,2,1,3,2,NA,2,2,2,2,2,2,2,2,1,2,27966.868467,29495.559191,2,152,2.12
